rank,name,country_name,country_id,active,value
318,Jordan Thompson,Australia,AUS,true,0.554
319,Andrei Olhovskiy,Russian Federation,RUS,false,0.554
320,Thomas Muster,Austria,AUT,false,0.553
321,Andrey Rublev,Russian Federation,RUS,true,0.552
322,Peter Gojowczyk,Germany,GER,true,0.552
323,Guillaume Raoux,France,FRA,false,0.551
324,David Goffin,Belgium,BEL,true,0.551
325,Tommy Robredo,Spain,ESP,true,0.550
326,Dick Norman,Belgium,BEL,false,0.550
327,Thiago Monteiro,Brazil,BRA,true,0.549
328,Martin Sinner,Germany,GER,false,0.549
329,Victor Hanescu,Romania,ROU,false,0.548
330,Karel Novacek,Czech Republic,CZE,false,0.548
331,Daniel Vacek,Czech Republic,CZE,false,0.548
332,Sergiy Stakhovsky,Ukraine,UKR,true,0.548
333,Paul Henri Mathieu,France,FRA,false,0.546
334,Horacio Zeballos,Argentina,ARG,false,0.545
335,Frank Dancevic,Canada,CAN,false,0.545
336,Sebastien Grosjean,France,FRA,false,0.545
337,Carlos Moya,Spain,ESP,false,0.545
338,Jerome Golmard,France,FRA,false,0.545
339,Hubert Hurkacz,Poland,POL,true,0.544
340,Daniele Bracciali,Italy,ITA,false,0.542
341,Juan Carlos Ferrero,Spain,ESP,false,0.542
342,Raemon Sluiter,Netherlands,NED,false,0.541
343,Xavier Malisse,Belgium,BEL,false,0.541
344,Yevgeny Kafelnikov,Russian Federation,RUS,false,0.539
345,Felix Auger Aliassime,Canada,CAN,true,0.538
346,Michael Tebbutt,Australia,AUS,false,0.538
347,Aljaz Bedene,Slovenia,SLO,true,0.537
348,Dustin Brown,Germany,GER,true,0.537
349,Luis Horna,Peru,PER,false,0.535
350,Agustin Calleri,Argentina,ARG,false,0.534
351,Cedric Pioline,France,FRA,false,0.534
352,Denis Istomin,Uzbekistan,UZB,true,0.532
353,Jim Grabb,United States,USA,false,0.532
354,Jacco Eltingh,Netherlands,NED,false,0.532
355,Robby Ginepri,United States,USA,false,0.532
356,Michael Chang,United States,USA,false,0.532
357,Pablo Cuevas,Uruguay,URU,true,0.532
358,Chuck Adams,United States,USA,false,0.532
359,Cyril Saulnier,France,FRA,false,0.529
360,Bernard Tomic,Australia,AUS,true,0.529
361,Javier Frana,Argentina,ARG,false,0.528
362,Rajeev Ram,United States,USA,false,0.528
363,Jan Siemerink,Netherlands,NED,false,0.525
364,James Blake,United States,USA,false,0.525
365,Simone Bolelli,Italy,ITA,false,0.525
366,Lucas Pouille,France,FRA,true,0.525
367,Hyeon Chung,"Korea, Republic of",KOR,true,0.525
368,Jiri Vesely,Czech Republic,CZE,true,0.525
369,Marcelo Rios,Chile,CHI,false,0.524
370,Ivan Navarro,Spain,ESP,false,0.524
371,Fernando Verdasco,Spain,ESP,true,0.523
372,Jared Donaldson,United States,USA,false,0.523
373,Jakob Hlasek,Switzerland,SUI,false,0.523
374,Martin Damm,Czech Republic,CZE,false,0.521
375,Philipp Petzschner,Germany,GER,false,0.521
376,Bryan Shelton,United States,USA,false,0.520
377,Younes El Aynaoui,Morocco,MAR,false,0.520
378,Marc Kevin Goellner,Germany,GER,false,0.520
379,Wayne Ferreira,South Africa,RSA,false,0.519
380,Igor Sijsling,Netherlands,NED,false,0.519
381,Lleyton Hewitt,Australia,AUS,false,0.518
382,Tennys Sandgren,United States,USA,true,0.518
383,Jan Michael Gambill,United States,USA,false,0.518
384,Ernests Gulbis,Latvia,LAT,true,0.517
385,Markus Zoecke,Germany,GER,false,0.517
386,Kenneth Carlsen,Denmark,DEN,false,0.516
387,Jeremy Chardy,France,FRA,true,0.515
388,Taylor Dent,United States,USA,false,0.515
389,Frances Tiafoe,United States,USA,true,0.514
390,Casper Ruud,Norway,NOR,true,0.514
391,Alexandr Dolgopolov,Ukraine,UKR,false,0.513
392,Roberto Bautista Agut,Spain,ESP,true,0.513
393,Janko Tipsarevic,Serbia,SRB,true,0.513
394,Alex De Minaur,Australia,AUS,true,0.509
395,Gregory Carraz,France,FRA,false,0.509
396,Malivai Washington,United States,USA,false,0.509
397,Thomas Johansson,Sweden,SWE,false,0.507
398,Igor Andreev,Russian Federation,RUS,false,0.507
399,Daniel Nestor,Canada,CAN,false,0.507
400,Benjamin Becker,Germany,GER,false,0.506
401,Marcos Baghdatis,Cyprus,CYP,false,0.505
402,Tim Henman,United Kingdom,GBR,false,0.505
403,Paradorn Srichaphan,Thailand,THA,false,0.505
404,Kei Nishikori,Japan,JPN,true,0.505
405,Radek Stepanek,Czech Republic,CZE,false,0.502
406,Thomas Enqvist,Sweden,SWE,false,0.501
407,Jamie Morgan,Australia,AUS,false,0.501
408,Borna Coric,Croatia,CRO,true,0.500
409,Wally Masur,Australia,AUS,false,0.499
410,Jerzy Janowicz,Poland,POL,false,0.498
411,Gael Monfils,France,FRA,true,0.496
412,Pierre Hugues Herbert,France,FRA,true,0.496
413,Kyle Edmund,United Kingdom,GBR,true,0.495
414,Shuzo Matsuoka,Japan,JPN,false,0.495
415,John McEnroe,United States,USA,false,0.494
