rank,name,country_name,country_id,active,value
175,Carlos Berlocq,Argentina,ARG,false,40.82%
176,Johan Van Herck,Belgium,BEL,false,40.81%
177,Jiri Vanek,Czech Republic,CZE,false,40.79%
178,Arnaud Boetsch,France,FRA,false,40.78%
179,Nicolas Escude,France,FRA,false,40.75%
180,David Rikl,Czech Republic,CZE,false,40.74%
181,Tim Henman,United Kingdom,GBR,false,40.74%
182,Pete Sampras,United States,USA,false,40.73%
183,Jan Hernych,Czech Republic,CZE,false,40.71%
184,Tommy Ho,United States,USA,false,40.69%
185,Ivan Dodig,Croatia,CRO,false,40.69%
186,Andrea Gaudenzi,Italy,ITA,false,40.69%
187,Brett Steven,New Zealand,NZL,false,40.68%
188,Alexander Popp,Germany,GER,false,40.68%
189,Gastao Elias,Portugal,POR,false,40.67%
190,Lukas Dlouhy,Czech Republic,CZE,false,40.63%
191,Mikhail Kukushkin,Kazakhstan,KAZ,true,40.61%
192,Franco Squillari,Argentina,ARG,false,40.60%
193,Taylor Dent,United States,USA,false,40.58%
194,Alejandro Falla,Colombia,COL,false,40.57%
195,Adrian Voinea,Romania,ROU,false,40.52%
196,Doug Flach,United States,USA,false,40.52%
197,Sargis Sargsian,Armenia,ARM,false,40.52%
198,Alex Calatrava,Spain,ESP,false,40.50%
199,Javier Frana,Argentina,ARG,false,40.48%
199,Marcos Aurelio Gorriz,Spain,ESP,false,40.48%
201,Carlos Moya,Spain,ESP,false,40.47%
202,Viktor Troicki,Serbia,SRB,true,40.45%
203,Andreas Seppi,Italy,ITA,true,40.45%
204,Juan Albert Viloca Puig,Spain,ESP,false,40.43%
205,Javier Sanchez,Spain,ESP,false,40.40%
206,Mardy Fish,United States,USA,false,40.40%
207,Alex Antonitsch,Austria,AUT,false,40.40%
208,Jonas Bjorkman,Sweden,SWE,false,40.39%
209,Radek Stepanek,Czech Republic,CZE,false,40.38%
210,Michael Stich,Germany,GER,false,40.38%
211,Christian Garin,Chile,CHI,true,40.38%
212,Jakob Hlasek,Switzerland,SUI,false,40.37%
213,Dudi Sela,Israel,ISR,true,40.35%
214,Lukasz Kubot,Poland,POL,false,40.33%
215,Ronald Agenor,United States,USA,false,40.33%
216,Albert Ramos,Spain,ESP,true,40.32%
217,Francisco Roig,Spain,ESP,false,40.32%
218,Fernando Verdasco,Spain,ESP,true,40.32%
219,Hicham Arazi,Morocco,MAR,false,40.31%
220,Andre Sa,Brazil,BRA,false,40.30%
221,Wayne Ferreira,South Africa,RSA,false,40.29%
222,Marcos Baghdatis,Cyprus,CYP,false,40.27%
223,Steve Darcis,Belgium,BEL,true,40.26%
224,Benoit Paire,France,FRA,true,40.25%
225,Mikael Tillstrom,Sweden,SWE,false,40.24%
226,Fernando Gonzalez,Chile,CHI,false,40.24%
227,Daniel Evans,United Kingdom,GBR,true,40.23%
228,Jimmy Wang,"Taiwan, Province of China",TPE,false,40.22%
229,Dusan Lajovic,Serbia,SRB,true,40.21%
230,Denis Kudla,United States,USA,true,40.20%
231,Andrey Golubev,Kazakhstan,KAZ,false,40.18%
232,Filip Krajinovic,Serbia,SRB,true,40.16%
232,Philipp Kohlschreiber,Germany,GER,true,40.16%
234,Michael Russell,United States,USA,false,40.16%
235,Lars Burgsmuller,Germany,GER,false,40.16%
236,Claudio Mezzadri,Switzerland,SUI,false,40.15%
237,Paul Henri Mathieu,France,FRA,false,40.15%
238,Marcel Granollers,Spain,ESP,true,40.14%
239,Todd Martin,United States,USA,false,40.13%
240,Juan Carlos Ferrero,Spain,ESP,false,40.11%
241,Victor Estrella,Dominican Republic,DOM,false,40.11%
242,Emilio Sanchez,Spain,ESP,false,40.10%
243,Jan Michael Gambill,United States,USA,false,40.08%
244,Jan Apell,Sweden,SWE,false,40.06%
245,Patrik Kuhnen,Germany,GER,false,40.02%
246,Tommy Haas,Germany,GER,false,40.01%
247,Diego Nargiso,Italy,ITA,false,40.00%
247,Emilio Benfele Alvarez,Spain,ESP,false,40.00%
247,Jerome Golmard,France,FRA,false,40.00%
247,Mark Koevermans,Netherlands,NED,false,40.00%
247,Somdev Devvarman,India,IND,false,40.00%
252,Guillermo Garcia Lopez,Spain,ESP,true,39.99%
253,Cedric Pioline,France,FRA,false,39.97%
254,Patrick Rafter,Australia,AUS,false,39.97%
255,Agustin Calleri,Argentina,ARG,false,39.95%
256,Pablo Cuevas,Uruguay,URU,true,39.95%
257,Tomas Behrend,Germany,GER,false,39.95%
258,Jurgen Melzer,Austria,AUT,false,39.93%
259,Tomas Zib,Czech Republic,CZE,false,39.92%
260,Pere Riba,Spain,ESP,false,39.91%
261,Karen Khachanov,Russian Federation,RUS,true,39.89%
262,Stephane Robert,France,FRA,true,39.87%
263,Boris Becker,Germany,GER,false,39.80%
264,Dmitry Tursunov,Russian Federation,RUS,false,39.80%
265,Karel Novacek,Czech Republic,CZE,false,39.80%
266,David Wheaton,United States,USA,false,39.78%
267,Ricardo Mello,Brazil,BRA,false,39.78%
268,Henri Leconte,France,FRA,false,39.75%
268,Kristof Vliegen,Belgium,BEL,false,39.75%
270,Tobias Kamke,Germany,GER,true,39.75%
271,Mario Ancic,Croatia,CRO,false,39.75%
271,Robby Ginepri,United States,USA,false,39.75%
273,Gianluca Pozzi,Italy,ITA,false,39.74%
274,Pablo Andujar,Spain,ESP,true,39.73%
275,Jo Wilfried Tsonga,France,FRA,true,39.73%
276,Jared Donaldson,United States,USA,false,39.72%
277,Potito Starace,Italy,ITA,false,39.72%
278,Olivier Delaitre,France,FRA,false,39.69%
279,Federico Delbonis,Argentina,ARG,true,39.63%
280,Stefano Pescosolido,Italy,ITA,false,39.61%
281,Janko Tipsarevic,Serbia,SRB,true,39.61%
282,Alexandr Dolgopolov,Ukraine,UKR,false,39.60%
283,Jean Rene Lisnard,Monaco,MON,false,39.57%
284,Goran Ivanisevic,Croatia,CRO,false,39.56%
285,Harel Levy,Israel,ISR,false,39.55%
286,Bernd Karbacher,Germany,GER,false,39.54%
287,Florent Serra,France,FRA,false,39.53%
288,Thiago Monteiro,Brazil,BRA,true,39.50%
289,Cristiano Caratti,Italy,ITA,false,39.48%
290,Igor Andreev,Russian Federation,RUS,false,39.47%
291,Mark Petchey,United Kingdom,GBR,false,39.47%
292,Arnaud Clement,France,FRA,false,39.47%
293,Richard Krajicek,Netherlands,NED,false,39.43%
294,Dimitri Poliakov,Ukraine,UKR,false,39.41%
295,Mark Woodforde,Australia,AUS,false,39.41%
296,Derrick Rostagno,United States,USA,false,39.41%
297,Alex De Minaur,Australia,AUS,true,39.41%
298,Lucas Pouille,France,FRA,true,39.40%
299,Marc Gicquel,France,FRA,false,39.39%
300,Albert Montanes,Spain,ESP,false,39.36%
301,Luiz Mattar,Brazil,BRA,false,39.33%
302,Christian Vinck,Germany,GER,false,39.33%
303,Wally Masur,Australia,AUS,false,39.33%
304,Henrik Holm,Sweden,SWE,false,39.30%
305,Andrey Rublev,Russian Federation,RUS,true,39.30%
306,Christophe Rochus,Belgium,BEL,false,39.28%
307,Marcelo Filippini,Uruguay,URU,false,39.28%
308,Mauricio Hadad,Colombia,COL,false,39.28%
309,Galo Blanco,Spain,ESP,false,39.27%
310,Shuzo Matsuoka,Japan,JPN,false,39.27%
311,Jose Acasuso,Argentina,ARG,false,39.26%
312,Robin Haase,Netherlands,NED,true,39.24%
313,Marinko Matosevic,Australia,AUS,false,39.24%
314,Santiago Giraldo,Colombia,COL,true,39.23%
315,Marton Fucsovics,Hungary,HUN,true,39.23%
316,Matthew Ebden,Australia,AUS,true,39.23%
317,Igor Kunitsyn,Russian Federation,RUS,false,39.23%
318,Nicolas Lapentti,Ecuador,ECU,false,39.22%
319,Illya Marchenko,Ukraine,UKR,true,39.22%
320,Stan Wawrinka,Switzerland,SUI,true,39.19%
321,David Prinosil,Germany,GER,false,39.19%
322,Peter Gojowczyk,Germany,GER,true,39.19%
323,Martin Vassallo Arguello,Argentina,ARG,false,39.16%
324,Kristian Pless,Denmark,DEN,false,39.15%
325,Paradorn Srichaphan,Thailand,THA,false,39.15%
326,Marat Safin,Russian Federation,RUS,false,39.15%
327,Martin Verkerk,Netherlands,NED,false,39.10%
328,Dominic Thiem,Austria,AUT,true,39.05%
329,Davide Sanguinetti,Italy,ITA,false,39.04%
330,Julien Benneteau,France,FRA,false,39.02%
331,Maximo Gonzalez,Argentina,ARG,false,39.02%
332,Boris Pashanski,Serbia,SRB,false,39.01%
333,Robbie Weiss,United States,USA,false,38.99%
334,Jens Knippschild,Germany,GER,false,38.98%
335,Nick Kyrgios,Australia,AUS,true,38.98%
336,Mariano Zabaleta,Argentina,ARG,false,38.96%
337,Igor Sijsling,Netherlands,NED,false,38.95%
338,Richard Fromberg,Australia,AUS,false,38.95%
339,Taro Daniel,Japan,JPN,true,38.94%
340,Kyle Edmund,United Kingdom,GBR,true,38.94%
340,Thomaz Bellucci,Brazil,BRA,false,38.94%
342,Nicolas Almagro,Spain,ESP,false,38.90%
343,Jack Sock,United States,USA,true,38.84%
344,Marin Cilic,Croatia,CRO,true,38.84%
345,Cedrik Marcel Stebe,Germany,GER,true,38.84%
346,Andy Roddick,United States,USA,false,38.82%
347,Magnus Larsson,Sweden,SWE,false,38.75%
348,Marsel Ilhan,Turkey,TUR,false,38.72%
349,Nuno Marques,Portugal,POR,false,38.72%
350,Tennys Sandgren,United States,USA,true,38.70%
351,Nikoloz Basilashvili,Georgia,GEO,true,38.67%
352,Wayne Odesnik,United States,USA,false,38.66%
353,Borna Coric,Croatia,CRO,true,38.63%
354,Sebastien Lareau,Canada,CAN,false,38.63%
355,Julien Boutter,France,FRA,false,38.62%
356,Sandon Stolle,Australia,AUS,false,38.61%
357,Joao Cunha Silva,Portugal,POR,false,38.58%
358,Alex Obrien,United States,USA,false,38.58%
359,Guillaume Raoux,France,FRA,false,38.58%
360,Ryan Harrison,United States,USA,true,38.56%
361,Henri Laaksonen,Switzerland,SUI,true,38.56%
362,Ramon Delgado,Paraguay,PAR,false,38.56%
